NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,c2q_snomed_id,c2q_snomed_name
NCT01095575,respiratory failure,respiratory failure,"ulants during 21 days prior to surgery, psychiatric
             illness

          3. congestive heart failure, respiratory failure, neuromuscular disease or presence of a
             chronic pain s",4256228,Respiratory failure,FALSE,unmarked,,,409622000,Respiratory failure (disorder),,
NCT01099618,hyperglycemia,DKA and/or severe hyperglycemia,"weight/obese (BMI >/=28 kg/m2) African-American patients with
             new-onset DKA and/or severe hyperglycemia and without apparent precipitating cause
             will be considered for inclus",4214376,Hyperglycemia,TRUE,severe,severe,pre,237621004,Diabetic severe hyperglycemia (disorder),,
NCT01140997,hypothyroidism,hypothyroidism,"rocess, history of
             significant pulmonary disease or any history of interstitial lung disease.

          -  History of hypothyroidism or current treatment for thyroid disease.

          ",140673,Hypothyroidism,TRUE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT01148914,pericarditis,pericarditis,"nd willing to give written consent

        Exclusion Criteria:

          -  Reversible causes of AF such as pericarditis and hyperthyroidism

          -  Associated chronic inflammatory diseases su",4138837,Pericarditis,FALSE,unmarked,,,3238004,Pericarditis (disorder),,
NCT01152541,corneal scar,Clinically significant corneal scar,"e(s) to be treated
             that may predispose the eye for future complications

          -  Clinically significant corneal scarring in the CXL treatment zone

          -  Pregnancy (including ",4318992,Corneal scar,TRUE,unmarked,,,95726001,Corneal scar (disorder),,
NCT01152957,panic,Hispanic,"r those with diabetes diagnosed when
             under age 25).

          -  Patients who do not self identify as Hispanic

          -  Any life-threatening or extreme medical comorbidity

        ",4196358,Panic,FALSE,unmarked,,,N/A,,,
NCT01157494,mental retardation,severe mental retardation," or functional surgery on the plegic UE 6 months prior
             to the video recordings

          -  severe mental retardation attested by the Diagnostic and Statistical Manual of mental
        ",40277917,Intellectual disability,TRUE,severe,severe,pre,40700009,Severe intellectual disability (disorder),,
NCT01161303,acute asthma,acute asthmatic episode,"        -  FEV1 of >60% predicted

        Exclusion criteria:

          -  Smokers

          -  Subjects with an acute asthmatic episode in the last 6 weeks

          -  Other significant clinical",4125022,Acute asthma,TRUE,unmarked,,,708038006,Acute exacerbation of asthma (disorder),,
NCT01163266,degenerative disorder,neurodegenerative disorder,"resence or history of a clinically significant neurological disorder (including
                  epilepsy)

               -  Neurodegenerative disorder.

               -  Any Axis II disorder that ",4179873,Degenerative disorder,TRUE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT01165281,asthma attack,bronchial asthma attack,"contraindicated such as serious respiratory
             depression of serious chronic obstructive pulmonary disease, bronchial asthma attack,
             cardiac failure secondary to chronic pulmona",45771045,Acute exacerbation of asthma,TRUE,unmarked,,,708038006,Acute exacerbation of asthma (disorder),,
NCT01167127,hypothyroidism,hypothyroidism,"th hypoxia and/or hypercapnia, severe obstructive pulmonary disease, cor
             pulmonale, severe bronchial asthma, paralytic ileus.

         15. Patients with myxodema, hypothyroidism, Addison",140673,Hypothyroidism,TRUE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT01168687,panic,panic disorder,"for lifetime abnormal opioid use or prescription drug abuse.

         11. Clinically significant medical or psychiatric illness (including anxiety or panic
             disorders) as determined by sc",4196358,Panic,TRUE,unmarked,,,371631005,Panic disorder (disorder),,
NCT01169779,macular edema,macular edema,"pretation of the study results difficult,
             history or presence of clinically significant diabetic retinopathy, history or
             presence of macular edema likely to require laser tre",4290333,Macular retinal edema,TRUE,unmarked,,,37231002,Macular retinal edema (disorder),,
NCT01213888,macular edema,macular edema,"thickness is acceptable)

          -  No other ocular disease that could be responsible for decreased vision, macular edema
             or could limit macular imaging

        Exclusion Criteria:

 ",4290333,Macular retinal edema,FALSE,unmarked,,,37231002,Macular retinal edema (disorder),,
NCT01222351,allergic asthma,allergic asthma,"r or any of its constituents and/or has a history of severe
             allergic reactions to drugs or allergens (e.g. patients with allergic asthma)

          -  Critically ill and/or medically uns",4191479,Allergic asthma,TRUE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT01225549,allergic asthma,allergic asthma,"teria:

          -  18-60 years of age

          -  Pre-bronchodilatory FEV1 ≥70% of predicted normal allergic asthmatic with a history of
             episodic wheeze

          -  Positive allerge",4191479,Allergic asthma,FALSE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT01246011,pericarditis,pericarditis,"gery

         16. Aneurysm

         17. History of psychosis or senility

         18. Malignant hypertension

         19. Clinically significant pericarditis or pericardial effusion

         20. ",4138837,Pericarditis,TRUE,unmarked,,,3238004,Pericarditis (disorder),,
NCT01255787,degenerative disorder,neurodegenerative disorder,"  -  Presence or history of a clinically significant neurological disorder (including
                  epilepsy).

               -  Neurodegenerative disorder. (Alzheimer's disease, Parkinson's dise",4179873,Degenerative disorder,TRUE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT01255956,inflammatory disease,inflammatory disease,"ntrast

          -  other diseases that may cause significant deterioration in long-term prognosis

          -  acute or chronic inflammatory diseases

          -  patients who are unwilling to con",4027384,Inflammatory disorder,TRUE,unmarked,,,128139000,Inflammatory disorder (disorder),,
NCT01279538,seizure disorder,seizure disorder," Subject has uncontrolled intercurrent illness, including, but not limited to ongoing
             or active infection, any clinically significant cardiac disease, seizure disorder, or
             ps",4029498,Seizure disorder,TRUE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT01284322,cytopenia,thrombocytopenia,"ac disease with significant arrhythmia, heart failure, or
             unstable angina

          -  Anemia (Hb < 8.5 gm/dL)

          -  Thrombocytopenia or blood clotting disorder

          -  Pat",4179922,Cytopenia,TRUE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT01284868,sinus bradycardia,sinus bradycardia,"severe
             hypersensitivity to any drug (excluding non-active hay fever)

          -  Any clinically significant history of sinus bradycardia, first and second degree
             atrioventr",4171683,Sinus bradycardia,TRUE,unmarked,,,49710005,Sinus bradycardia (disorder),,
NCT01300312,muscular dystrophy,muscular dystrophy,"       fracture, cancers, severe arthritis and osteoporosis.

          -  Muscular diseases such as myositis, poliomyelitis, muscular dystrophy and myotonia.

          -  Other known systemic diseas",4247802,Muscular dystrophy,TRUE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT01320007,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"vol capable Device

          -  Previous hospital admission for decompensated heart failure

          -  Left ventricular systolic dysfunction (EF <50%)

          -  Currently compensated heart fai",4047088,Left ventricular systolic dysfunction,FALSE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT01370070,sinus bradycardia,sinus bradycardia,"ock, 2nd or 3rd degree AV block, bifascicular block, sick sinus syndrome,
             Wolff-Parkinson-white syndrome, significant sinus bradycardia (< 50bpm) . However,
             patients with asy",4171683,Sinus bradycardia,TRUE,unmarked,,,49710005,Sinus bradycardia (disorder),,
NCT01378455,learning disability,learning disability,"ers.

          -  significant hearing or visual impairment

          -  significant sensory impairment.

          -  Learning disability

          -  Test of Nonverbal Intelligence( TONI-2) less t",4085156,Developmental academic disorder,TRUE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT01387191,left ventricular systolic dysfunction,severe left ventricular systolic dysfunction,"       -  Subjects with right cardiac failure during an acute exacerbation

          -  Subjects with severe left ventricular systolic dysfunction

          -  Subjects with serious left ventricular",4047088,Left ventricular systolic dysfunction,TRUE,severe,severe,pre,9.91E+11,Severe left ventricular systolic dysfunction (disorder),,
NCT01389583,sinus bradycardia,sinus bradycardia,"stasis

          5. Symptoms of heart failure or greater to Class III (by NYHA criteria) or history of
             uncontrolled dysrrhythmias

          6. Sinus bradycardia (resting heart rate <50 ",4171683,Sinus bradycardia,FALSE,unmarked,,,49710005,Sinus bradycardia (disorder),,
NCT01422317,cytopenia,thrombocytopenia,"nancy, or other reasons

          -  Ongoing gastrointestinal bleeding or verified stomach ulcer

          -  Thrombocytopenia or blood platelets < 100 x 10'9/L

          -  Liver insufficiency

  ",4179922,Cytopenia,FALSE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT01424150,postoperative complication,posteroperative complication,"radical
             hysterectomy, and abdominal incisional hernia repair)

          3. At increased risk of postoperative complications, defined as at least one of the
             following criteri",4300243,Postoperative complication,FALSE,unmarked,,,385486001,Postoperative complication (disorder),,
NCT01427361,muscular atrophy,muscular atrophy," Exclusion Criteria:

          1. Patient with infection or sepsis.

          2. Patient with any vascular insufficiency, muscular atrophy, or neuromuscular disease
             severe enough to com",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),,
NCT01432418,visual impairment,significant visual impairment," have a rapidly progressive disorder (e.g. amyotrophic lateral sclerosis or terminal
             cancer)

          -  have significant visual impairments (legally blind)

          -  have unstable ",4265433,Visual impairment,TRUE,severe,significant,post,397540003,Visual impairment (disorder),,
NCT01436045,dementia,Dementia Rating Scale,"          Alzheimer's Disease and Related Disorders Association (NINCDS-ADRDA) criteria and
             Dementia Rating Scale (McKhann 1984).

          -  Mini-Mental State Examination (MMSE) score ",4182210,Dementia,FALSE,unmarked,,,273367002,Clinical dementia rating scale (assessment scale),,
NCT01467882,scoliosis,moderate to severe scoliosis," or other study endpoints (e.g. chronic steroid use [except mild topical steroids],
             renal failure, diabetes, moderate to severe scoliosis, previously treated intracranial
             tum",72418,Scoliosis deformity of spine,TRUE,severe,severe,post,298382003,Scoliosis deformity of spine,N/A,
NCT01474538,lactic acidosis,lactic acidosis," serum creatinine greater than or equal to 2 milligrams/deciliter (mg/dL) if not
             on metformin; known metabolic or lactic acidosis; any condition associated with
             hypoperfusion",4239233,Lactic acidosis,FALSE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT01488058,major depressive disorder,major depressive disorder,"stical Manual of the American Psychiatric Association - 4th
             edition (DSM-IV) criteria for Major Depressive Disorder,

          -  Internet access + printer access,

          -  Australi",4152280,Major depressive disorder,FALSE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT01502462,pericarditis,constrictive pericarditis,"ctive endocarditis requiring antibiotics therapy

          5. Untreated hyperthyroidism

          6. Constrictive pericarditis

          7. Unclosed significant atrial septal defect

          8. P",4138837,Pericarditis,TRUE,unmarked,,,85598007,Constrictive pericarditis (disorder),,
NCT01514552,oral lesion,oral lesion,"l treatment during the study period.

          -  Have noticeable open lesions, sores that have not healed for more than 3 months, have
             had any active oral lesions or maladies within the",43530620,Oral lesion,FALSE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT01520610,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"associated with ST-segment abnormalities and/or increased
             serum troponin level, 2) transient left ventricular systolic dysfunction, and 3) no
             coronary lesions related to the ",4047088,Left ventricular systolic dysfunction,FALSE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT01536041,allergic asthma,seasonal allergic asthma,"           endocrine, or pulmonary other than asthma

          -  Patients with Seasonal Allergic Rhinitis (SAR) or seasonal allergic asthma,with
             significant symptoms that may confound s",4191479,Allergic asthma,TRUE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT01536886,dermatitis,dermatitis,"phic skin, striae atrophicae, fragility of skin veins, icthyosis,
             ulcers and wounds.

          -  Other inflammatory skin disorders (e.g. seborrhoeic dermatitis or contact dermatitis)
  ",45766714,Inflammatory dermatosis,FALSE,unmarked,,,703938007,Inflammatory dermatosis (disorder),,
NCT01543022,systemic infection,systemic infection," that will preclude insertion of the Symphony
             device.

         10. Moderate to severe aortic insufficiency (2+ or more).

         11. Ongoing systemic infection defined as two of the fo",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),,
NCT01546597,lactic acidosis,lactic acidosis,"        -  Use of insulin therapy < 3 months prior to Screening

          -  History of ketoacidosis, ketosis-prone diabetes, or lactic acidosis

          -  Clinically significant complications of ",4239233,Lactic acidosis,TRUE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT01548469,gingivitis,gingivitis,"severe suppuration caused by pericoronitis of the wisdom tooth.

          4. Who has hypersensitive conditions caused by Gingivitis or periodontitis.

          5. Who having restorative dentistry or",4281516,Gingivitis,TRUE,unmarked,,,66383009,Gingivitis (disorder),,
NCT01559987,gingivitis,gingivitis,"lection,
             for definition);

          -  present with one of the following three categories:

          -  BGI-gingivitis: all PD<3mm, BOP>10%;

          -  BGI-periodontitis (P2): 1+ sit",4281516,Gingivitis,FALSE,unmarked,,,66383009,Gingivitis (disorder),,
NCT01564862,degenerative disorder,neurodegenerative disorder,"reen prior to Baseline).

               4. Presence or history of a clinically significant neurological disorder (including
                  epilepsy).

               5. Neurodegenerative disorder ",4179873,Degenerative disorder,TRUE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT01571674,muscle wasting,muscle wasting," of central nervous system involvement, to include hyperreflexia, sensory
             disturbances in the hand, intrinsic muscle wasting of the hands, unsteadiness during
             walking, nystag",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),N/A,
NCT01572220,left ventricular systolic dysfunction,severe left ventricular systolic dysfunction,"ical
                       criteria

                    -  Acute decompensated congestive heart failure

                    -  Established severe left ventricular systolic dysfunction (left ventric",4047088,Left ventricular systolic dysfunction,TRUE,severe,severe,pre,9.91E+11,Severe left ventricular systolic dysfunction (disorder),,
NCT01596699,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"Anemia

          -  Dyskeratosis Congenita

          -  A known syndrome with increased sensitivity to radiation or alkylating agents

          -  Severe Combined Immunodeficiency Disease eligible ",40483560,Combined immunodeficiency disease,FALSE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT01601743,dementia,dementia,"fetime history of schizophrenia, other psychotic
             illness, or bipolar illness; c. current organic brain disease or dementia assessed by
             clinical interview; d. current psychiat",4182210,Dementia,FALSE,unmarked,,,52448006,Dementia (disorder),,
NCT01623310,cleft palate,cleft palate,"onths before the screening visit

          -  Current, ongoing rhinitis medicamentosa (rebound rhinitis)

          -  Have significant oral structural abnormalities, eg, a cleft palate

          - ",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),,
NCT01624428,panic,panic or anxiety disorder,"   -  Current diagnosis of any clinical significant psychiatric disease like major
             depressive disorder, panic or anxiety disorder, psychosis, schizophrenia, bipolar
             disorder.",4196358,Panic,TRUE,unmarked,,,371631005,Panic disorder (disorder),,
NCT01627626,acute asthma,acute asthma,"onths or more, and

          -  adults aged 20 years and older.

        Exclusion Criteria:

          -  acute asthma attack

          -  acute iritis

          -  narrow angle glaucoma

        ",4125022,Acute asthma,FALSE,unmarked,,,304527002,Acute asthma (disorder),,
NCT01646047,macular edema,clinically significant macular edema,"proliferative diabetic retinopathy or severe non-proliferative retinopathy

          -  clinically significant macular edema

          -  corrected visual acuity less than 20/30 in either eye

     ",4290333,Macular retinal edema,TRUE,unmarked,,,312911008,Clinically significant macular edema (disorder),,
NCT01662778,acute asthma,acute asthma exacerbation,"d specifically FP,
             listed in the British National Formulary will not be entered into this study

         11. Those who have experienced an acute asthma exacerbation requiring emergency r",4125022,Acute asthma,FALSE,unmarked,,,708038006,Acute exacerbation of asthma (disorder),,
NCT01666509,dermatitis,perioral dermatitis,"  Flushing due to conditions other than rosacea

          -  Any other abnormal facial skin conditions, e.g., eczema, perioral dermatitis, broken
             and bleeding skin on area of application",45766714,Inflammatory dermatosis,FALSE,unmarked,,,238751002,Perioral dermatitis (disorder),,
NCT01672658,multiple trauma,multiple trauma,"han moderate
             assistance from the physical therapist/researcher.

        Exclusion Criteria:

          -  Multiple trauma

          -  Severe brain injury as defined above

          - ",4096313,Multiple injuries,FALSE,unmarked,,,262519004,Multiple injuries (disorder),,
NCT01674504,oral lesion,oral lesion,"sing.

          -  Clinically significant abnormalities and / or with significant diseases.

          -  Prevalence of oral candidiasis, aphthous ulcer or other oral lesions.

          -  Difficult",43530620,Oral lesion,TRUE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT01684293,learning disorder,learning disorder,"      hospitalization

          7. Currently symptomatic from attention-deficit/hyperactivity disorder (DSM-5 criteria)

          8. Any learning disorder, any type of dementia, any type of delirium",4085156,Developmental academic disorder,FALSE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT01687166,sepsis,sepsis,"nths) prior to enrollment

          -  Left atrial appendage closure device

          -  Any other significant uncontrolled or unstable medical condition (e.g. sepsis, acute
             metabolic i",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),,
NCT01700348,gingivitis,severe gingivitis,"          (including aspirin);

          -  have heavy deposits of calculus, either supragingival and/or subgingival;

          -  have severe gingivitis or periodontitis;

          -  have extensi",4281516,Gingivitis,TRUE,severe,severe,pre,714477000,Severe gingivitis (disorder),,
NCT01706484,allergic asthma,allergic asthma,"         -  Presence or history of uni- or bilateral nasal polyps

          -  Presence of moderate to severe co-morbid asthma, including allergic asthma

          -  Patients with mild asthma havin",4191479,Allergic asthma,TRUE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT01715012,multiple trauma,multiple trauma,"year.

          -  Patients requiring care in the Intensive Care Unit.

          -  Inhalation injury requiring mechanical ventilation.

          -  Multiple trauma (significant traumatic injury to",4096313,Multiple injuries,TRUE,unmarked,,,262519004,Multiple injuries (disorder),,
NCT01730209,learning disability,learning disability,"-  With an IQ estimated <80 and/or special schooling and/or autism spectrum disorder
             and/or learning disability requiring remedial teaching.

          -  Written informed consent by pare",4085156,Developmental academic disorder,FALSE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT01737073,degenerative disorder,degenerative disorder,"               -  osteoarthritis

               -  nerve compression

               -  other inflammatory and degenerative disorders

          -  receipt of chronic opioid therapy [90 continuous da",4179873,Degenerative disorder,FALSE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT01754610,multiple trauma,multiple trauma,"ildren aged 1 through 17 years old at the time of recruitment

          -  Child and family exposed to multiple traumas

          -  a partial diagnosis of PTSD (15-week treatment version)

        ",4096313,Multiple injuries,FALSE,unmarked,,,262519004,Multiple injuries (disorder),,
NCT01771627,affective disorder,Schizoaffective Disorder,"reated for a mental health problem like
                  major depression, bipolar disorder, dysthymia, or schizoaffective disorder?""

               -  ""Have you ever had serious thoughts of killing",444100,Mood disorder,TRUE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT01784094,scoliosis,scoliosis,":

          -  previous severe back or lower extremity injury or surgery

          -  major structural spinal deformity (scoliosis, kyphosis, stenosis)

          -  ankylosing spondylitis or rheuma",72418,Scoliosis deformity of spine,TRUE,unmarked,,,298382003,Scoliosis deformity of spine,N/A,
NCT01787760,corneal scar,central corneal scaring,"orneal irregularity in either eye

         13. Strabismus in either eye

         14. Pupil or lid abnormality or infection in either eye

         15. Central corneal scar and aphakia in either eye
",4318992,Corneal scar,FALSE,unmarked,,,95726001,Corneal scar (disorder),,
NCT01796028,lactic acidosis,lactic acidosis,"th Metformin or an analog

          -  Known hypersensitivity or allergy to Metformin HCl or any of the excipients.

          -  Patients with a history of lactic acidosis

          -  PSA increase",4239233,Lactic acidosis,FALSE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT01809834,corneal scar,Clinically significant corneal scar,"      fluorescein dye;

          -  Has any clinically significant lid or conjunctival abnormalities, neovascularization,
             corneal scars or corneal opacities;

          -  Is aphakic;

 ",4318992,Corneal scar,TRUE,unmarked,,,95726001,Corneal scar (disorder),,
NCT01816841,oral lesion,oral lesion,"The Ohio State University James
             Cancer Hospital Otolaryngology Department with a suspicious oral lesion or prior
             biopsy-confirmed epithelial dysplasia (mild, moderate, severe",43530620,Oral lesion,TRUE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT01817634,malnutrition,acute malnutrition,"ria:

          -  Singleton infants

          -  6-12 months old

          -  Not suffering from acute malnutrition (wasting): WHZ > -2 , no edema

          -  Infants currently being breastfed

 ",4090739,Nutritional disorder,FALSE,unmarked,,,2492009,Nutritional disorder (disorder),,
NCT01825798,lactic acidosis,lactic acidosis,"iver disease, renal impairment, congestive heart failure, pernicious
             anemia, any other condition increasing the risk for lactic acidosis, or any serious
             medical illness requi",4239233,Lactic acidosis,TRUE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT01834404,major depression,Recurrent major depression,"
          -  Use of anti-diabetic drugs other than metformin,

          -  History of nephrolithiasis,

          -  Recurrent major depression, presence or history of suicidal behavior or ideation ",4152280,Major depressive disorder,FALSE,unmarked,,,66344007,Recurrent major depression (disorder),,
NCT01862016,respiratory failure,respiratory failure,"         nodules lung

          -  Report PaO2 / FiO2 ≤ 200 mmHg with a PEP of at least 5 cmH2O

          -  Respiratory failure not fully explained by cardiac failure or fluid overload

          -",4256228,Respiratory failure,FALSE,unmarked,,,409622000,Respiratory failure (disorder),,
NCT01865708,sepsis,urosepsis,"n applicable) consent for enrollment.

        Exclusion Criteria:

          -  18 yo or older.

          -  Urosepsis at time of study enrollment

          -  Known bladder or genitourinary abnorm",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),,
NCT01869868,degenerative disorder,neurodegenerative disorder,"  -  severe/life-threatening medical disease

          -  pregnancy

          -  type I diabetes

          -  neurodegenerative disorder

          -  inability to give written informed consent to ",4179873,Degenerative disorder,TRUE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT01880411,panic,Papanicolaou (PAP) smear,"ordance with institutional guidelines

          -  Negative pregnancy test

          -  LSIL or HSIL on Papanicolaou (PAP) smear within the prior 6-8 weeks

          -  Normal electrocardiogram (EC",4196358,Panic,FALSE,unmarked,,,N/A,,,
NCT01882829,cytopenia,quinine or mefloquine-induced thrombocytopenia,"           risk of complete AV block

          -  Participants with a history of quinidine, quinine or mefloquine-induced
             thrombocytopenia, hepatitis, or other hypersensitivity reactions",4179922,Cytopenia,FALSE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT01889719,pericarditis,myopericarditis,"   -  Any clinically significant acute or chronic medical condition requiring care of a
             physician (e.g., diabetes, coronary artery disease, myopericarditis, grand-mal
             epileps",4138837,Pericarditis,TRUE,unmarked,,,723863003,Myopericarditis (disorder),,
NCT01911442,intellectual disability,profound intellectual disability," be stable for at least 4
             weeks before screening and consistent throughout the study.

        Exclusion Criteria:

          -  Subjects with profound intellectual disability.

         ",40277917,Intellectual disability,FALSE,severe,profound,pre,31216003,Profound intellectual disability (disorder),,
NCT01914406,postoperative complication,posteroperative complication,"written informed consent for study participation.

        Exclusion Criteria:

        unstable condition postoperative complications, recent severe rejection episodes (>H1R < 3
        month), re-tr",4300243,Postoperative complication,TRUE,unmarked,,,385486001,Postoperative complication (disorder),,
NCT01926275,scoliosis,severe kyphoscoliosis,"nced
             bronchiectases, active tuberculosis, post tuberculosis syndrome, pneumonia, severe
             kyphoscoliosis, tracheostoma, neuromuscular diseases, or any other disorder, which
   ",72418,Scoliosis deformity of spine,TRUE,severe,severe,post,405773007,Kyphoscoliosis deformity of spine (disorder),N/A,
NCT01945333,affective disorder,Schizoaffective Disorder,"     1. Diagnostic and Statistical Manual-IV (DSM-IV) diagnosis of schizophrenia or
             schizoaffective disorder

          2. Age 18 to 65

          3. English speaking

          4. Psychi",444100,Mood disorder,FALSE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT01960725,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"        1. History of hypersensitivity to the vaccine or any component of the vaccine

          2. History of Severe Combined Immunodeficiency Disease (SCID)

          3. History of immunocompromise",40483560,Combined immunodeficiency disease,FALSE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT01962129,mental retardation,mental retardation,"mptomatic relatives have
        to be covered by a national health insurance agency.

        Group 2: Study of the form of syndromic X-linked mental retardation secondary to mutations
        in the",40277917,Intellectual disability,FALSE,unmarked,,,110359009,Intellectual disability (disorder),,
NCT01962493,oral lesion,oral lesion,"ucts; severe
             periodontitis; severe recession; dental implants; active carious lesions on anterior
             teeth; oral lesions/manifestations; prone to aphthous stomatitis and ulcerat",43530620,Oral lesion,TRUE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT01965028,degenerative disorder,neurodegenerative disorder,"evidence of significant brain malformation or neoplasm, head injury

          -  Cerebral vascular events

          -  Neurodegenerative disorder affecting the brain or prior brain surgery

        ",4179873,Degenerative disorder,TRUE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT02014311,allergic asthma,allergic asthma," -  Known Iodine contrast allergy

          -  Estimated GFR below 50 ml/min

          -  Adenosine intolerance - known allergic asthma

          -  Previous CABG

          -  Patient related circ",4191479,Allergic asthma,FALSE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT02023554,hypothyroidism,hypothyroidism,"h renal or hepatic dysfunction;

          -  patients with congestive heart failure;

          -  patients with hypothyroidism or hyperthyroidism;

          -  patients taking drugs likely to affec",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT02028455,seizure disorder,seizure disorder,"umented in order to be eligible.

        Patients must NOT have active clinically significant CNS dysfunction (including but not
        limited to such as uncontrolled seizure disorder, paresis, aph",4029498,Seizure disorder,TRUE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT02051881,nutritional disease,severe nutritional disease,"psies:

          1. History of severe cardiovascular, gastrointestinal/ hepatic,
             hematological/immunologic, metabolic/nutritional disease and/or laboratory assessments
             which",4090739,Nutritional disorder,TRUE,severe,severe,pre,29740003,Nutritional marasmus (disorder),,
NCT02055911,macular edema,diabetic macular edema,"        -  Patients with Type 1 or Type 2 diabetes mellitus and prior diagnosis of diabetic
             macular edema (DME), who had not undergone any previous treatment, either
             pharmaco",4290333,Macular retinal edema,FALSE,unmarked,,,312912001,Macular edema due to diabetes mellitus (disorder),,
NCT02056223,birth asphyxia,severe birth asphyxia," than 50.000/mm3

          -  Proved Sepsis

          -  Severe coagulopathy or liver failure

          -  Evidence of severe birth asphyxia, that is an APGAR score below 5 at 5 minutes of age
    ",4184996,Birth asphyxia,TRUE,severe,severe,pre,57284007,Severe birth asphyxia (disorder),,
NCT02056613,cytopenia,thrombocytopenia,"includes any of the following, as per AABB or FDA requirements
             for allogeneic use:

               -  Thrombocytopenia or other blood dyscrasias

               -  Bleeding diathesis

   ",4179922,Cytopenia,FALSE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT02073214,birth asphyxia,birth asphyxia,"3. Mother's age < 18 years

          4. Contraindicated to enteral nutrition within the first 48 hours of life

          5. Birth asphyxia (Apgar score: 0-3)

          6. Major congenital abnormali",4184996,Birth asphyxia,FALSE,unmarked,,,413654009,Birth asphyxia (disorder),,
NCT02081430,muscle wasting,muscle wasting,"nce of central nervous system involvement such as exaggerated reflexes, changes
             in sensation in the hands, muscle wasting in the hands, impaired sensation of the
             face, altere",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),N/A,
NCT02111512,acute asthma,acute asthma,"        for regular use by the child's treating healthcare professional

               -  Recent admission to hospital in last 2 weeks for acute asthma

               -  Current oral steroid for ast",4125022,Acute asthma,FALSE,unmarked,,,304527002,Acute asthma (disorder),,
NCT02119533,disability,disability,"ave both eyes in order for
             the eye tracking data to be effective and significant.

          -  Any physical or mental injury or baseline disability rendering task completion
            ",4052648,Disability,TRUE,unmarked,,,21134002,Disability (finding),,
NCT02121249,muscular dystrophy,muscular dystrophy,"     -  Primary abnormalities of bones (e.g. osteogenesis imperfecta)

          -  Primary muscle diseases, such as muscular dystrophy

          -  Neurologic diseases (e.g. Charcot-Marie Tooth, Gui",4247802,Muscular dystrophy,FALSE,unmarked,,,73297009,Muscular dystrophy (disorder),,
