,NCT_id,matched_string,criteria_string,parent_concept_id,parent_concept_name,CONCEPT_GUESS,DESCENDANT_GUESS
120,NCT00778310,learning disorder," Concerta (OROS-methylphenidate)

        Exclusion Criteria:

          -  IQ < 95

          -  Presence of Learning Disorder

          -  Presence of an Affective or Psychotic Disorder

          ",4085156,Developmental academic disorder,learning disorder,Learning disorder
121,NCT02349529,learning disability,"roup process

          -  In mainstream schooling.

        Exclusion Criteria:

          -  Formal diagnosis of Learning Disability or attendance at a school for children with
             Special ",4085156,Developmental academic disorder,learning disability,Learning disorder
122,NCT03018574,learning disorder,"             developmental disorder (autism), bipolar disorder, psychosis, language difficulties or
             learning disorders (reading disorders, mathematics disorders and disorders of written
 ",4085156,Developmental academic disorder,learning disorders,Learning disorder
123,NCT01730209,learning disability,"-  With an IQ estimated <80 and/or special schooling and/or autism spectrum disorder
             and/or learning disability requiring remedial teaching.

          -  Written informed consent by pare",4085156,Developmental academic disorder,learning disability,Learning disorder
124,NCT03695068,learning disorder,"participant participates in an alternative curriculum (i.e., life skills
             course) due to moderate to severe learning disorders.

          -  The potential participant received a score of ",4085156,Developmental academic disorder,learning disorders,Learning disorder
125,NCT00252980,learning disability,"  current severe episode of Major depression

          -  current panic-agoraphobic disorder (severe)

          -  severe learning disability, brain damage or pervasive developmental disorder

     ",4085156,Developmental academic disorder,learning disability,Learning disorder
126,NCT03287362,learning disability,"tic or bipolar disorder

          4. severe neurological or internal concomitant diseases

          5. IQ < 80; severe learning disability, brain damage or pervasive developmental disorder

        ",4085156,Developmental academic disorder,learning disability,Learning disorder
127,NCT01378455,learning disability,"ers.

          -  significant hearing or visual impairment

          -  significant sensory impairment.

          -  Learning disability

          -  Test of Nonverbal Intelligence( TONI-2) less t",4085156,Developmental academic disorder,learning disability,Learning disorder
128,NCT03857347,learning disability,"riencing active severe psychiatric symptoms

          -  A dependency on alcohol or recreational drugs

          -  Learning disability as classified by ICD 10.

          -  Those unable to travel ",4085156,Developmental academic disorder,learning disability,Learning disorder
129,NCT02331459,frailty,"rs old and older

          3. Frail geriatric patient according to the Cardiovascular Health Study (CHS) Frailty
             Phenotype

          4. Gait speed less than 0.8 m/s.

        Exclusion ",4086506,Frailty,frailty,Frailty
130,NCT03949439,frailty," (previous stroke or muscular dystrophies), cognitive
             impairment resulting from previous injury, frailty score ≥ 5, non-elective/emergency
             surgery procedures or incomplete da",4086506,Frailty,frailty,Frailty
131,NCT03865095,frailty,"  mechanical ventilation expected for at least 48 hours

        Exclusion Criteria:

          -  Clinical Frailty Score above 7 prior admission

          -  neuromuscular disease in previous medica",4086506,Frailty,frailty,Frailty
132,NCT03393754,frailty,"rmined by the investigator, and not meeting
             the exclusion criteria. For subjects > 65 years old, Frailty Index ≤3

          -  If female, either is not of childbearing potential or is of",4086506,Frailty,frailty,Frailty
133,NCT02975089,frailty,"usion Criteria:

          -  ≥ 65 years of age

          -  Have at least one of the modified Fried's Frailty phenotypes

          -  Sign informed consent form for study participation

        Mod",4086506,Frailty,frailty,Frailty
134,NCT02952443,frailty,"f age

          -  Free of any serious injury in the last 6 months

          -  Deemed to express the pre-frailty phenotype, meaning they are classified as: Pre-frail
             according to the C",4086506,Frailty,pre frailty,Severe frailty
135,NCT04038294,frailty,"evere regurgitation or
             combined CABG/valve procedures.

          2. Patients with a Clinical Frailty Score (CFS) from 3 (Managing Well) to 7 (severely
             frail),

          3. ",4086506,Frailty,frailty,Frailty
136,NCT03458793,frailty,"cognitive disability or clinical diagnosis of dementia;

          6. physical disability (i.e. SPPB score less than 9);

          7. severe frailty or any chronic health condition that precludes par",4086506,Frailty,frailty,Frailty
137,NCT03971500,frailty,"on likely to interfere with study processes including medication compliance
             or follow-up visits (e.g. dementia, alcohol abuse, severe frailty, long distance to
             travel for fol",4086506,Frailty,frailty,Frailty
138,NCT00193011,frailty,"

          -  Age 65 or older

          -  Under age 65 must have significant medical illness, or general frailty

          -  Adequate bone marrow, liver or kidney function

          -  Normal he",4086506,Frailty,frailty,Frailty
139,NCT04123119,malnutrition,"ipation in another clinical trial throughout the entire timeframe for
             this study

          -  Presence of malnutrition or any systemic disorder (cardiovascular, pulmonary, hepatic,
     ",4090739,Nutritional disorder,malnutrition,Malnutrition
140,NCT01817634,malnutrition,"ria:

          -  Singleton infants

          -  6-12 months old

          -  Not suffering from acute malnutrition (wasting): WHZ > -2 , no edema

          -  Infants currently being breastfed

 ",4090739,Nutritional disorder,malnutrition,Malnutrition
141,NCT03301311,malnutrition,"       -  Hospitalization or surgery planned within 3 months

          -  Ongoing active gastrointestinal infection

          -  Severe Malnutrition (BMI less than 5th percentile)

          -  Rece",4090739,Nutritional disorder,malnutrition,Malnutrition
142,NCT02130089,malnutrition," interdialytic parenteral nutrition

          -  Transfer to another facility expected within 3 months

          -  Severe malnutrition, as assessed by Subjective Global Assessment (SGA) or other
  ",4090739,Nutritional disorder,malnutrition,Malnutrition
143,NCT03915366,malnutrition," 24 hours

                    -  Lethargic or unconscious

                    -  Stridor while calm

                    -  Severe malnutrition

          4. HIV-confirmed infection (with at least o",4090739,Nutritional disorder,malnutrition,Malnutrition
144,NCT03897673,malnutrition,"mptoms like persistent vomiting, high temperature
             (>39.5°C), or tea-colored urine

          -  Severe malnutrition, as evidenced by severe wasting or bilateral pitting edema

          -",4090739,Nutritional disorder,malnutrition,Malnutrition
145,NCT03762564,malnutrition,"ients curatively
             treated and disease-free for at least 5 years will be discussed with the sponsor
             before inclusion.

          2. Patients with significant malnutrition who r",4090739,Nutritional disorder,malnutrition,Malnutrition
146,NCT02051881,nutritional disease,"psies:

          1. History of severe cardiovascular, gastrointestinal/ hepatic,
             hematological/immunologic, metabolic/nutritional disease and/or laboratory assessments
             which",4090739,Nutritional disorder,metabolic nutritional disease,Fetal malnutrition
147,NCT00003394,malnutrition," attack or
        stroke within 6 months Neurologic: No grade 3-4 peripheral neuropathy Other: No severe
        infection No severe malnutrition No other serious medical illnesses

        PRIOR CON",4090739,Nutritional disorder,malnutrition,Malnutrition
148,NCT03108131,malnutrition,"least 7 days prior to enrollment)

          -  Uncontrolled intercurrent illness including, but not limited to diabetes,
             hypertension, severe infection, severe malnutrition, unstable ang",4090739,Nutritional disorder,malnutrition,Malnutrition
149,NCT03811626,multiple injuries,"ated upon arrival at hospital

          -  Patient with injury to the medulla and with neurological signs or multiple injuries
             (at least 1 of which is life-threatening)

          -  Bra",4096313,Multiple injuries,multiple injuries,Multiple trauma
150,NCT03128086,multiple injuries,"uromuscular disease,

          -  Spinal cord injury,

          -  Tracheostomy,

          -  Inability to be evaluated,

          -  Severe multiple injuries evaluated by the Injury Severity Scor",4096313,Multiple injuries,multiple injuries,Multiple trauma
151,NCT01754610,multiple trauma,"ildren aged 1 through 17 years old at the time of recruitment

          -  Child and family exposed to multiple traumas

          -  a partial diagnosis of PTSD (15-week treatment version)

        ",4096313,Multiple injuries,multiple traumas,Multiple trauma
152,NCT01007006,multiple trauma,"ish language for written and oral communication

          -  Have diagnosis of Traumatic Brain Injury(TBI) Multiple Traumatic Brain Injury (MTBI),
             Post Traumatic Stress Disorder (PTSD) o",4096313,Multiple injuries,multiple traumatic,Multiple trauma
153,NCT01672658,multiple trauma,"han moderate
             assistance from the physical therapist/researcher.

        Exclusion Criteria:

          -  Multiple trauma

          -  Severe brain injury as defined above

          - ",4096313,Multiple injuries,multiple trauma,Multiple trauma
154,NCT03312348,multiple injuries,"nt and carer consenting to
             participate.

        Exclusion Criteria:

          -  Children with multiple injuries (e.g. those involved in serious car accidents), or
             those wh",4096313,Multiple injuries,multiple injuries,Multiple trauma
155,NCT00547638,multiple trauma,"
          -  patient is reasonably expected to survive the study

        Exclusion Criteria:

          -  significant multiple trauma (merely multiple wounds are allowed)

          -  peripheral v",4096313,Multiple injuries,multiple trauma,Multiple trauma
156,NCT04090424,multiple trauma,"een experienced by the subject including soft-tissue
             degloving and friction burn/crush, i.e., road rash

          3. Multiple traumas, i.e., significant traumatic injury to a solid organ",4096313,Multiple injuries,multiple traumas,Multiple trauma
157,NCT01715012,multiple trauma,"year.

          -  Patients requiring care in the Intensive Care Unit.

          -  Inhalation injury requiring mechanical ventilation.

          -  Multiple trauma (significant traumatic injury to",4096313,Multiple injuries,multiple trauma,Multiple trauma
158,NCT03919422,multiple trauma,"ction or anticoagulation therapy

          4. History of upper limb nerve injury or phrenic nerve injury

          5. Multiple trauma

          6. Uncontrolled respiratory disease (severe chronic o",4096313,Multiple injuries,multiple trauma,Multiple trauma
159,NCT00936936,carrier," as brain or
             meningeal metastases that are not in complete remission.

          6. Patients with active hepatitis B, either active carrier (HBsAg +) or viremic (HBV DNA
             >/=1",4106092,Carrier of disorder,carrier,Carrier
160,NCT03579927,carrier,"rior therapy that has not resolved to </=
             G1.

          3. Prior whole brain irradiation.

          4. Active hepatitis B, either active carrier (HBsAg +) or viremic (HBV DNA >/= 10,000",4106092,Carrier of disorder,carrier,Carrier
161,NCT03062410,carrier,"toxicities or adverse events.

          -  HIV positive.

          -  History of active chronic hepatitis including subjects who are carriers of Hepatitis B
             virus or Hepatitis C virus

",4106092,Carrier of disorder,carriers,Carrier
162,NCT00001765,carrier," (normal blood count,
        normotensive, no history of stroke, no history of severe heart disease).

        Female x-linked CGD carriers must have greater than 30% normal neutrophils.

        EXC",4106092,Carrier of disorder,carriers,Carrier
163,NCT02614794,carrier,"ment at least 12 months prior to starting study
                  treatment are eligible.

          -  Clinically significant cardiopulmonary disease

          -  Carriers of Hepatitis B or Hepatiti",4106092,Carrier of disorder,carriers,Carrier
164,NCT02976714,carrier,"surance scheme

          -  women and men aged 12 to 30

          -  subject affected by cystic fibrosis, carrier of two severe mutations in trans (in the
             same allele) in the CFTR gene
",4106092,Carrier of disorder,carrier,Carrier
165,NCT03633019,carrier,"plantation and other
             acquired/congenital immunodeficiency disorders

          -  patients with Hepatitis B(except inactive carrier) or Hepatitis C

          -  with serious heart diseas",4106092,Carrier of disorder,carrier,Carrier
166,NCT00584805,carrier,"zation).

          -  Clinically significant abnormal lab results including evidence of Hepatitis C,
             Hepatitis B carrier state, or elevated (2X normal) liver function tests.

          -",4106092,Carrier of disorder,carrier,Carrier
167,NCT01627626,acute asthma,"onths or more, and

          -  adults aged 20 years and older.

        Exclusion Criteria:

          -  acute asthma attack

          -  acute iritis

          -  narrow angle glaucoma

        ",4125022,Acute asthma,acute asthma,Acute asthma
168,NCT01045174,acute asthma,"istory of asthma

          -  children must be presenting to the emergency department for treatment of acute asthma

          -  children must qualify to be treated for acute asthma according to an ",4125022,Acute asthma,acute asthma,Acute asthma
169,NCT00937924,acute asthma,"y of allergic or adverse reactions to midazolam, diphenhydramine, or
             promethazine.

          -  Acute asthma, narrow angle glaucoma, concurrent use of potent inhibitors of CYP3A4
       ",4125022,Acute asthma,acute asthma,Acute asthma
170,NCT01662778,acute asthma,"d specifically FP,
             listed in the British National Formulary will not be entered into this study

         11. Those who have experienced an acute asthma exacerbation requiring emergency r",4125022,Acute asthma,acute asthma,Acute asthma
171,NCT02111512,acute asthma,"        for regular use by the child's treating healthcare professional

               -  Recent admission to hospital in last 2 weeks for acute asthma

               -  Current oral steroid for ast",4125022,Acute asthma,acute asthma,Acute asthma
172,NCT01019707,acute asthma,"

         10. Have a significant family history of early cardiovascular morbidity or mortality.

         11. Have a diagnosis of adult asthma, including those with a history of acute asthma
        ",4125022,Acute asthma,acute asthma,Acute asthma
173,NCT03802227,acute asthma,"determined by the MRI
             technologist and/or MRI physicist

          -  History of clinically significant acute asthma or other obstructive airway disease
             (e.g., chronic obstru",4125022,Acute asthma,acute asthma,Acute asthma
174,NCT01161303,acute asthma,"        -  FEV1 of >60% predicted

        Exclusion criteria:

          -  Smokers

          -  Subjects with an acute asthmatic episode in the last 6 weeks

          -  Other significant clinical",4125022,Acute asthma,acute asthmatic,Acute asthma
175,NCT00252135,acute asthma," Xolair therapy (e.g., patients who experienced a severe
             hypersensitivity reaction to Xolair)

          -  Acute asthma exacerbation within the previous 2 weeks of screening requiring an",4125022,Acute asthma,acute asthma,Acute asthma
176,NCT00801307,acute asthma,"hma medication, no treatment for asthma in an emergency,acute care setting and
                  no admission to hospital for acute asthma

        Patients with moderate / severe COPD:

          -  ",4125022,Acute asthma,emergency acute care,Asthma attack
177,NCT02169037,pericarditis," during the procedure

        EXCLUSION CRITERIA:

          -  atrial fibrillation from a reversible cause (e.g., surgery, hyperthyroidism,
             pericarditis)

          -  cardiac or thorac",4138837,Pericarditis,pericarditis,Pericarditis
178,NCT03506412,pericarditis,"r regurgitation (greater than moderate in severity),
             hypertrophic, restrictive or obstructive cardiomyopathy including amyloidosis,
             constrictive pericarditis, primary pulmona",4138837,Pericarditis,pericarditis,Pericarditis
179,NCT01148914,pericarditis,"nd willing to give written consent

        Exclusion Criteria:

          -  Reversible causes of AF such as pericarditis and hyperthyroidism

          -  Associated chronic inflammatory diseases su",4138837,Pericarditis,pericarditis,Pericarditis
180,NCT04098328,pericarditis,"       17. Infiltrative cardiomyopathies (e.g., amyloidosis, hemochromatosis, sarcoidosis),
             hypertrophic or restrictive cardiomyopathies, and constrictive pericarditis

         18. Activ",4138837,Pericarditis,pericarditis,Pericarditis
181,NCT02303379,pericarditis,"able coronary heart disease

          -  state after heart surgeries

          -  state after myo-, endo-, or pericarditis

          -  state after heart- or lung-transplantation

          -  stat",4138837,Pericarditis,pericarditis,Pericarditis
182,NCT01889719,pericarditis,"   -  Any clinically significant acute or chronic medical condition requiring care of a
             physician (e.g., diabetes, coronary artery disease, myopericarditis, grand-mal
             epileps",4138837,Pericarditis,myopericarditis,Pericarditis
183,NCT00987415,pericarditis,"vel > 250 pg/ml

        Exclusion Criteria:

          -  Hypertrophic or restrictive cardiomyopathy, constrictive pericarditis, biopsy-proven
             myocarditis, severe stenotic valvular disea",4138837,Pericarditis,pericarditis,Pericarditis
184,NCT01502462,pericarditis,"ctive endocarditis requiring antibiotics therapy

          5. Untreated hyperthyroidism

          6. Constrictive pericarditis

          7. Unclosed significant atrial septal defect

          8. P",4138837,Pericarditis,pericarditis,Pericarditis
185,NCT03988166,pericarditis,"c blood pressure <100 mmHg or cardiogenic shock

               -  Acute pulmonary edema or severe congestive heart failure

               -  Suspected acute myocarditis, pericarditis, endocarditis, ",4138837,Pericarditis,pericarditis,Pericarditis
186,NCT01246011,pericarditis,"gery

         16. Aneurysm

         17. History of psychosis or senility

         18. Malignant hypertension

         19. Clinically significant pericarditis or pericardial effusion

         20. ",4138837,Pericarditis,pericarditis,Pericarditis
187,NCT04021797,major depression,"lar functioning, including doctor diagnosed arrhythmia,
             bradycardia, hypertension, congestive heart failure, major depression, bipolar
             disorder, post-traumatic stress disorde",4152280,Major depressive disorder,major depression,Major depression
188,NCT01488058,major depressive disorder,"stical Manual of the American Psychiatric Association - 4th
             edition (DSM-IV) criteria for Major Depressive Disorder,

          -  Internet access + printer access,

          -  Australi",4152280,Major depressive disorder,major depressive disorder,Major depression
189,NCT03522389,major depression,"n Criteria:

          -  Having history of stroke or heart attack or Parkinsonism symptoms.

          -  The presence of major depression disorder deﬁned by a Patient Health Questionnaire-9 >
      ",4152280,Major depressive disorder,major depression,Major depression
190,NCT01834404,major depression,"
          -  Use of anti-diabetic drugs other than metformin,

          -  History of nephrolithiasis,

          -  Recurrent major depression, presence or history of suicidal behavior or ideation ",4152280,Major depressive disorder,major depression,Major depression
191,NCT02327182,major depressive disorder,"  Exclusion Criteria:

          -  Diagnosis of any other disease which may cause dementia

          -  Diagnosis of major depressive disorder as defined by Diagnostic and Statistical Manual
       ",4152280,Major depressive disorder,major depressive disorder,Major depression
192,NCT02285699,major depressive disorder,"S score of ≥20.

          -  MADRS < 18

        Exclusion Criteria:

          -  Participants with current Major Depressive Disorder.

          -  Patients with significant suicidal ideation (MADR",4152280,Major depressive disorder,major depressive disorder,Major depression
193,NCT00435903,major depression,"of schizophrenia, schizoaffective disorder,
             schizophreniform disorder, bipolar disorder, or major depression with significant
             functional impairment

          3. Smoking 10 o",4152280,Major depressive disorder,major depression,Major depression
194,NCT02347007,major depression,"          -  Untreated or unstable hypothyroidism

          -  Hyperthyroidism

          -  Diagnosis of psychoses, bipolar disorder, major depression, severe personality
             disorder; hist",4152280,Major depressive disorder,major depression,Major depression
195,NCT00249535,major depression,"serious, uncontrolled psychiatric illness (e.g., acute schizophrenia, bipolar
             disorder, severe or psychotic major depression, or suicide risk)

          -  have dementia (<23 on the Mini",4152280,Major depressive disorder,major depression,Major depression
196,NCT00670098,major depression,"severe cardiac and pulmonary diseases, as well as uncontrolled
             type 2 diabetes.

               -  Evidence of major depression or other psychiatric disorder (schizophrenia,
             ",4152280,Major depressive disorder,major depression,Major depression
197,NCT00906100,sinus bradycardia,"IV heart failure despite a stable and optimized
             medical regimen

          -  Normal sinus rhythm or sinus bradycardia

        Exclusion Criteria:

          -  White-Parkinson-White syn",4171683,Sinus bradycardia,sinus rhythm,Sinus bradycardia
198,NCT03971734,sinus bradycardia,"ure

               -  Supraventricular tachycardia, atrial fibrillation, and/or atrial flutter

               -  Ventricular tachyarrhythmias

               -  Severe sinus bradycardia defined as a",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
199,NCT00713323,sinus bradycardia,"  infarction

          -  QT interval; of > 450 ms (males) or > 470 ms (females) at Visit 1

          -  Secondary or tertiary AV block or sinus bradycardia (HR <50bpm unless physiological)
        ",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
200,NCT02869906,sinus bradycardia,"sfunction (Ejection Fraction <30%).

          -  Heart Failure

          -  Previous STEMI

          -  Severe sinus bradycardia

          -  Past medical history of Asthma

          -  TIMI flow",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
201,NCT01389583,sinus bradycardia,"stasis

          5. Symptoms of heart failure or greater to Class III (by NYHA criteria) or history of
             uncontrolled dysrrhythmias

          6. Sinus bradycardia (resting heart rate <50 ",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
202,NCT03436472,sinus bradycardia,"urosurgery;

          -  Preoperative left ventricular ejection fraction < 30%, sick sinus syndrome, severe
             sinus bradycardia (< 50 beats per minute), or second-degree or greater
       ",4171683,Sinus bradycardia,sinus syndrome,Sinus bradycardia
203,NCT03798821,sinus bradycardia,"hial asthma, a history of bronchial asthma or severe chronic
             obstructive pulmonary disease.

          -  Sinus bradycardia, second or third degree of atrioventricular block, insufficienc",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
204,NCT01284868,sinus bradycardia,"severe
             hypersensitivity to any drug (excluding non-active hay fever)

          -  Any clinically significant history of sinus bradycardia, first and second degree
             atrioventr",4171683,Sinus bradycardia,sinus bradycardia,Sinus bradycardia
205,NCT01370070,sinus bradycardia,"ock, 2nd or 3rd degree AV block, bifascicular block, sick sinus syndrome,
             Wolff-Parkinson-white syndrome, significant sinus bradycardia (< 50bpm) . However,
             patients with asy",4171683,Sinus bradycardia,sinus syndrome,Sinus bradycardia
206,NCT03841383,sinus bradycardia,"ocolate) sick sinus syndrome, advanced AV block (second and third degree),
                  systolic blood pressure < 90 mmHg, cerebral ischemia, severe sinus bradycardia
                  (heart rat",4171683,Sinus bradycardia,sinus syndrome,Sinus bradycardia
207,NCT03439059,degenerative disorder,"   -  any physical condition or disability disallowing participation in PA

          -  apparent evidence of any neurodegenerative disorders other than Alzheimer's disease

          -  score of 6 or",4179873,Degenerative disorder,neurodegenerative disorders,Molar degeneration
208,NCT02737930,degenerative disorder,"r optic neuropathy

          -  Premorbid depression

          -  History of cognitive impairment, dementia, or neurodegenerative disorder

          -  History of seizure disorder

          -  His",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
209,NCT03757325,degenerative disorder,"         -  Clinical history within 2 years of the screening visit or current evidence of any
             neurological or neurodegenerative disorder other than AD that is associated with
            ",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
210,NCT01737073,degenerative disorder,"               -  osteoarthritis

               -  nerve compression

               -  other inflammatory and degenerative disorders

          -  receipt of chronic opioid therapy [90 continuous da",4179873,Degenerative disorder,degenerative disorders,Degenerated eye
211,NCT00645190,degenerative disorder,"sent form by subject and assent form by care-giver

        Exclusion Criteria:

          -  Patients with neurodegenerative disorders such as Parkinson's disease

          -  Patients with some con",4179873,Degenerative disorder,neurodegenerative disorders,Molar degeneration
212,NCT01163266,degenerative disorder,"resence or history of a clinically significant neurological disorder (including
                  epilepsy)

               -  Neurodegenerative disorder.

               -  Any Axis II disorder that ",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
213,NCT01564862,degenerative disorder,"reen prior to Baseline).

               4. Presence or history of a clinically significant neurological disorder (including
                  epilepsy).

               5. Neurodegenerative disorder ",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
214,NCT01255787,degenerative disorder,"  -  Presence or history of a clinically significant neurological disorder (including
                  epilepsy).

               -  Neurodegenerative disorder. (Alzheimer's disease, Parkinson's dise",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
215,NCT01869868,degenerative disorder,"  -  severe/life-threatening medical disease

          -  pregnancy

          -  type I diabetes

          -  neurodegenerative disorder

          -  inability to give written informed consent to ",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
216,NCT01965028,degenerative disorder,"evidence of significant brain malformation or neoplasm, head injury

          -  Cerebral vascular events

          -  Neurodegenerative disorder affecting the brain or prior brain surgery

        ",4179873,Degenerative disorder,neurodegenerative disorder,Molar degeneration
217,NCT02505893,cytopenia,"tance abuse

          -  Baseline Hb below the lower limits of normal at the local laboratory; lymphopenia
             (<1,000/µL), neutropenia (<1,500/µL), or thrombocytopenia (platelets <100,000/µ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
218,NCT01422317,cytopenia,"nancy, or other reasons

          -  Ongoing gastrointestinal bleeding or verified stomach ulcer

          -  Thrombocytopenia or blood platelets < 100 x 10'9/L

          -  Liver insufficiency

  ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
219,NCT02056613,cytopenia,"includes any of the following, as per AABB or FDA requirements
             for allogeneic use:

               -  Thrombocytopenia or other blood dyscrasias

               -  Bleeding diathesis

   ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
220,NCT03181815,cytopenia,"y of the subject to
             receive protocol therapy;

          -  Concurrent autoimmune hemolytic anemia or immune thrombocytopenia;

          -  Subjects suffered from AIDS，active hepatitis B",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
221,NCT01882829,cytopenia,"           risk of complete AV block

          -  Participants with a history of quinidine, quinine or mefloquine-induced
             thrombocytopenia, hepatitis, or other hypersensitivity reactions",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
222,NCT02294994,cytopenia,"rgery (including bypass surgery);

          -  Active bleeding

          -  Unexplained clinically significant bleeding, thrombocytopenia (platelet count < 100 x
             109/L) or history of th",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
223,NCT00671996,cytopenia,":

          1. Other tumour types than colon adenocarcinomas

          2. Current severe neutropenia, leucopenia or thrombocytopenia

          3. Severely reduced liver or renal function

         ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
224,NCT02874586,cytopenia,"            -  Patients with severe anemia (hemoglobin < 8 g/dL), leukopenia (WBC < 2500/mm3),
                  or thrombocytopenia (platelet count < 50,000/mm3);

               -  Severe disorders ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
225,NCT01284322,cytopenia,"ac disease with significant arrhythmia, heart failure, or
             unstable angina

          -  Anemia (Hb < 8.5 gm/dL)

          -  Thrombocytopenia or blood clotting disorder

          -  Pat",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
226,NCT02518594,cytopenia,"equire invasive in-utero assessment or
             treatment, for example significant red cell antigen sensitization or neonatal
             alloimmune thrombocytopenia

         14. Major maternal ",4179922,Cytopenia,thrombocytopenia,Erythrocytopenia
227,NCT03816644,dementia,"sessments.

          5. English or Spanish speaking.

        Exclusion Criteria:

          1. Prior diagnosis of dementia or MCI as ascertained by ICD-10 codes or the documentation
             of ",4182210,Dementia,dementia,Dementia
228,NCT01436045,dementia,"          Alzheimer's Disease and Related Disorders Association (NINCDS-ADRDA) criteria and
             Dementia Rating Scale (McKhann 1984).

          -  Mini-Mental State Examination (MMSE) score ",4182210,Dementia,dementia,Dementia
229,NCT01601743,dementia,"fetime history of schizophrenia, other psychotic
             illness, or bipolar illness; c. current organic brain disease or dementia assessed by
             clinical interview; d. current psychiat",4182210,Dementia,dementia,Dementia
230,NCT02895555,dementia,"ed distance of walking due to non-spinal related causes.

          8. Candidate for more than two-level intervention.

          9. Dementia assessed by the MMSE

         10. ASA 3+4

         11. A",4182210,Dementia,dementia,Dementia
231,NCT03198741,dementia,"rillator, or other ferromagnetic material; etc.

         23. Pregnant or plan to be pregnant within 1 year;

         24. Any condition that may interfere with any study procedures, such as dementia,",4182210,Dementia,dementia,Dementia
232,NCT03812523,dementia,"-  Subjects with a history of or current tobacco or illegal substance use

          -  Subjects exhibiting significant psychiatric or cognitive impairment
             (dementia/delirium, retardation",4182210,Dementia,dementia delirium,Senile delirium
233,NCT00130429,dementia,"ria:

          -  Recent history or clinical evidence of significant neurological disease other than
             dementia due to Alzheimer's disease

          -  Known to have another condition tha",4182210,Dementia,dementia,Dementia
234,NCT03987061,dementia,"er's disease,
             vasculitis)

          -  Severe medical comorbidities (untreated CAD/CHF, severe COPD, metastatic malignancy,
             dementia, etc) or other medical condition that wo",4182210,Dementia,dementia,Dementia
235,NCT03747042,dementia,"ve mortality.

          5. Severe uncontrolled malabsorption condition or disease (i.e. grade II/III diarrhea,
             severe malnutrition, short gut syndrome)

          6. Dementia, altered me",4182210,Dementia,dementia,Dementia
236,NCT02163603,dementia,"cated with mental, neurological disorders (such as hypoxic-ischemic
             encephalopathy, epilepsy and dementia) or significant barriers to growth.

          -  Patients are complicated with c",4182210,Dementia,dementia,Dementia
237,NCT02073214,birth asphyxia,"3. Mother's age < 18 years

          4. Contraindicated to enteral nutrition within the first 48 hours of life

          5. Birth asphyxia (Apgar score: 0-3)

          6. Major congenital abnormali",4184996,Birth asphyxia,birth asphyxia,Birth asphyxia
238,NCT03171324,birth asphyxia,"uct transfusion prior to study enrolment

          2. Neonatal jaundice due to hemolytic anemia

          3. Severe birth asphyxia defined as 1 minute Apgar score 0-3 with or without moderate to
   ",4184996,Birth asphyxia,birth asphyxia,Birth asphyxia
239,NCT00699413,birth asphyxia,"viously diagnosed with any major illness since birth (e.g. sever intrauterine
             growth retardation, chronic birth asphyxia, cancer).

          -  Children with type 1 and/or type 2 diabete",4184996,Birth asphyxia,birth e g,Birth asphyxia
240,NCT00555932,birth asphyxia,"n MR and MRV as part of their diagnostic workup. Clinical
             indications for MR could include birth asphyxia, seizures, irritability, lethargy,
             abnormal neurological examination",4184996,Birth asphyxia,birth asphyxia,Birth asphyxia
241,NCT02970994,birth asphyxia,"usion Criteria:

          -  Major congenital malformation

          -  Haemodynamic instability

          -  Birth asphyxia(Apgar score of less than 7 at 1 minute of age)

          -  Multiple ge",4184996,Birth asphyxia,birth asphyxia apgar,Birth asphyxia
242,NCT00697580,birth asphyxia,"viously diagnosed with any major illness since birth (e.g. severe intrauterine
             growth retardation, chronic birth asphyxia, cancer).

          -  Children will not be eligible for partici",4184996,Birth asphyxia,birth e g,Birth asphyxia
243,NCT02056223,birth asphyxia," than 50.000/mm3

          -  Proved Sepsis

          -  Severe coagulopathy or liver failure

          -  Evidence of severe birth asphyxia, that is an APGAR score below 5 at 5 minutes of age
    ",4184996,Birth asphyxia,birth asphyxia,Birth asphyxia
