NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,
NCT00895102,asthma,,"cancer (except basal cell carcinoma);

          -  clinically significant cardiovascular, respiratory (except mild asthma), renal,
             gastrointestinal, hematologic, neurologic, thyroid, or ",317009,Asthma,TRUE,,,,370218001,Mild asthma (disorder),
NCT01425281,asthma,," and/or has known immunosuppressive or
             autoimmune disease (e.g. human immunodeficiency virus, systemic lupus erythematosus,
             rheumatoid arthritis, severe asthma requiring immu",317009,Asthma,TRUE,,,,370221004,Severe asthma,
NCT00463567,asthma,,"ry disease, pulmonary tuberculosis, or clinically
             significant bronchiectasis

          -  Patients with a history of asthma (with further criteria)

          -  Patients with Type I or ",317009,Asthma,TRUE,,,,195967001,Asthma (disorder),
NCT02614274,asthma,,"had a significant injury to the target joint within the past 12 months.

          4. Subject plans to have knee surgery in the next 2 months.

          5. Subject has had an asthma attack, hives, or",317009,Asthma,TRUE,,,,708038006,Asthma attack,
NCT00548184,cardiomyopathy,,"traceptive method in women of
             child-bearing potential.

          -  Severe underlying chronic illness or disease.

          -  Cardiomyopathy or baseline LVEF less than 50%.

          ",321319,Cardiomyopathy,FALSE,,,,85898001,Cardiomyopathy (disorder),
NCT01031290,cardiomyopathy,,"er, schizophrenia, bipolar disorder, mania,
        or hypomania

        vii) History of myocardial infarction, angina, congestive heart failure, cardiomyopathy,
        stroke or transient ischemic ",321319,Cardiomyopathy,FALSE,,,,85898001,Cardiomyopathy (disorder),
NCT03057548,cardiomyopathy,,"tients with any corrected or uncorrected congenital heart disease

          -  Patients with a history of hypertrophic cardiomyopathy

          -  Patients with cardiomyopathy and a left ventricular",321319,Cardiomyopathy,FALSE,,,,233873004,Hypertrophic cardiomyopathy (disorder),
NCT01212094,cardiomyopathy,," risk of harm or
        prevent the patient from completing the study (such as, but not limited to cerebrovascular
        disease, ischemic cardiomyopathy, clotting disorder, brittle diabetes, neuro",321319,Cardiomyopathy,FALSE,,,,194849004,Ischemic cardiomyopathy,
NCT01092325,cardiomyopathy,," and 85
             years of age

          -  Have chronic Systolic HF due to primary/idiopathic dilated cardiomyopathy, coronary
             artery disease or hypertension, and stable for at least",321319,Cardiomyopathy,FALSE,,,,53043001,Primary idiopathic dilated cardiomyopathy (disorder),
NCT03065140,cardiomyopathy,,"    -  Presence of other significant concomitant heart diseases such as ischaemic, valvular,
             pericardial heart disease or cardiomyopathy, skeletal muscle disorders

          -  Healthy v",321319,Cardiomyopathy,TRUE,,,,85898001,Cardiomyopathy (disorder),
NCT00230230,cardiomyopathy,,"s
             participation in the study. In particular, diabetics, uncontrolled hypertensives, and
             subjects with clinically significant cardiomyopathy, prostatic hypertrophy, glaucoma,
",321319,Cardiomyopathy,TRUE,,,,85898001,Cardiomyopathy (disorder),
NCT02508623,cardiomyopathy,,"          -  significant coronary artery disease (angina NYHA III/IV), congestive heart failure
             (NYHA III/IV), relevant cardiomyopathy, history of myocardial infarct within the last
     ",321319,Cardiomyopathy,TRUE,,,,85898001,Cardiomyopathy (disorder),
NCT01416974,cardiomyopathy,,"hmia or unexplained syncope, not
             believed to be vasovagal in nature or due to dehydration

          -  History of severe non-ischemic cardiomyopathy with EF ≤20%

          -  Patients w",321319,Cardiomyopathy,TRUE,,,,85898001,Cardiomyopathy (disorder),
NCT00079443,cardiomyopathy,,"tributed to agents used in the study

          -  Impaired cardiac function: history of life threatening arrhythmias, MI within the
             preceding 6 months, severe CAD, cardiomyopathy, conges",321319,Cardiomyopathy,TRUE,,,,85898001,Cardiomyopathy (disorder),
NCT01718600,encephalopathy,,"tion.

          -  Patient has acute illness or unstable chronic illness (e.g. uncontrolled hypertension,
             hepatic encephalopathy, portal hypertension, ascites, and esophageal varices,
  ",372887,Disorder of brain,FALSE,,,,13920009,Hepatic encephalopathy (disorder),
NCT02564198,encephalopathy,,"lcers, fistulas or
             abscesses

          -  Active or recent history of hypertensive crisis or hypertensive encephalopathy

          -  Active non-healing wound or bone fracture

        ",372887,Disorder of brain,FALSE,,,,50490005,Hypertensive encephalopathy (disorder),
NCT02990312,encephalopathy,,"     2. The following active opportunistic infections: Ongoing chronic infections such as
             progressive multifocal leukoencephalopathy (PML), disseminated cryptococcosis, chronic
          ",372887,Disorder of brain,FALSE,,,,22255007,Progressive multifocal leukoencephalopathy (disorder),
NCT01143246,encephalopathy,,"           an NSAID within the prior month (prescription or over the counter) is acceptable Note:
             Use of short-term (< 2 weeks) oral neomycin for acute encephalopathy is acceptable.

    ",372887,Disorder of brain,FALSE,,,,16561007,Acute anoxic encephalopathy (disorder),
NCT01546909,encephalopathy,,"vaccine components or to a vaccine
             containing the same substances

          -  Known personal history of encephalopathy, seizure disorder or progressive, evolving or
             unstabl",372887,Disorder of brain,FALSE,,,,81308009,Disorder of brain (disorder),
NCT03079167,encephalopathy,,"s than 7.00 OR base deficit greater than or equal to 12.0
                  mmol/L

          -  Moderate to severe encephalopathy, defined between one and six hours after birth by
             one or",372887,Disorder of brain,TRUE,,,,81308009,Disorder of brain (disorder),
NCT04045210,encephalopathy,,"s such as schizophrenia

          -  acute alcohol/substance intoxication or withdrawal

          -  severe metabolic encephalopathy

          -  patients on comfort care

          -  Patients not",372887,Disorder of brain,TRUE,,,,472916000,Toxic and/or metabolic encephalopathy,
NCT00147030,encephalopathy,,"r they meet the neurological
        abnormality entry criteria (B) by trained personnel:

        B. Moderate to severe encephalopathy, consisting of altered state of consciousness
        (lethargy,",372887,Disorder of brain,TRUE,,,,81308009,Disorder of brain (disorder),
NCT01059461,encephalopathy,," of moderate or severe
        HIE collected from his NICU's file. Criteria of neonatal asphyxia and encephalopathy
        according to the American College of Obstetricians and Gynecologist and Amer",372887,Disorder of brain,TRUE,,,,81308009,Disorder of brain (disorder),
NCT02640040,encephalopathy,,"    -  Patients are complicated with mental, neurological disorders (such as hypoxic-ischemic
             encephalopathy, epilepsy and dementia) or significant barriers to growth.

          -  Patie",372887,Disorder of brain,TRUE,,,,703300001,Hypoxic ischemic encephalopathy (disorder),
NCT02612337,sensorineural hearing loss,,"t has experienced active vertigo during the lead-in period.

          -  Subject has documented asymmetric sensorineural hearing loss.

          -  Subject agrees to maintain their current treatment",374366,Sensorineural hearing loss,FALSE,,,,428887009,Asymmetrical sensorineural hearing loss (disorder),
NCT03664674,sensorineural hearing loss,,"t has experienced active vertigo during the lead-in period.

          -  Subject has documented asymmetric sensorineural hearing loss.

          -  Subject agrees to maintain their current treatment",374366,Sensorineural hearing loss,FALSE,,,,428887009,Asymmetrical sensorineural hearing loss (disorder),
NCT03897634,sensorineural hearing loss,,"2. Speak English as their primary language

          3. Normal or corrected to normal vision

          4. Sensorineural hearing loss with pure-tone thresholds 20-85 dB HL at octave frequencies
     ",374366,Sensorineural hearing loss,FALSE,,,,60700002,Sensorineural hearing loss (disorder),
NCT04041700,sensorineural hearing loss,,"onduction thresholds with pure tone average (PTA4; mean of 0.5, 1, 2 and 4 kHz)
             of ≤ 55 dB sensorineural hearing loss.

        OR Subject with single-sided sensorineural deafness who is ",374366,Sensorineural hearing loss,FALSE,,,,60700002,Sensorineural hearing loss (disorder),
NCT01481662,sensorineural hearing loss,,"         -  Age older than 18

          -  Two clinical features of the triad present: encephalopathy, sensorineural hearing loss
             assessed by audiogram, retinal artery occlusion assessed",374366,Sensorineural hearing loss,FALSE,,,,60700002,Sensorineural hearing loss (disorder),
NCT01072409,sensorineural hearing loss,,"e or older at the time of the study.

          -  Postlinguistic onset of bilateral severe-to-profound sensorineural hearing loss

          -  Bilateral severe-to-profound hearing loss that meets cu",374366,Sensorineural hearing loss,TRUE,,,,194424005,"Sensorineural hearing loss, bilateral (disorder)",
NCT00589511,sensorineural hearing loss,,"riteria:

          -  1 year to 17 years, 11 months of age.

          -  Bilateral severe to profound sensorineural hearing loss for those 1 to 2 years of age.
             Severe hearing loss for t",374366,Sensorineural hearing loss,TRUE,,,,194424005,"Sensorineural hearing loss, bilateral (disorder)",
NCT01092910,sensorineural hearing loss,,"tands the audiological test procedures and use of the Esteem System.

          -  Subject has mild to severe sensorineural hearing loss between 500 and 4000 Hz in the
             ear to be implanted",374366,Sensorineural hearing loss,TRUE,,,,898061000000101,Bilateral severe sensorineural hearing loss,
NCT00205881,sensorineural hearing loss,,"rience.

          2. Age 18 years or older.

          3. Postlingual onset of hearing loss.

          4. Sensorineural hearing loss of a severe or greater degree in both ears.

          5. Normal/",374366,Sensorineural hearing loss,TRUE,,,,60700002,Sensorineural hearing loss (disorder),
NCT01975571,sensorineural hearing loss,,"    Criterion for selection will be subject interest in preservation of residual hearing;
        severe sensorineural hearing loss; lack of benefit from appropriately fit binaural hearing
        aid",374366,Sensorineural hearing loss,TRUE,,,,898061000000101,Bilateral severe sensorineural hearing loss,
NCT00107055,eye disorder,," and/or regarding which an ophthalmologist has recommended cataract
                  surgery);

               -  Other vision-impairing disorders (if a subject is aware of any eye disorder that
    ",375252,Disorder of eye,FALSE,,,,371405004,Disorder of eye proper (disorder),
NCT02565537,eye disorder,,"thin corneas.

          -  Patients with topographic evidence of keratoconus.

          -  Patients with ectatic eye disorders.

          -  Patients with autoimmune diseases.

          -  Patient",375252,Disorder of eye,FALSE,,,,371405004,Disorder of eye proper (disorder),
NCT03475147,eye disorder,,"Control

          -  Age matched 18-80 years of age.

          -  Healthy normal controls with no known eye disorders.

        Exclusion Criteria:

          -  Scotoma or any other ocular disorder",375252,Disorder of eye,FALSE,,,,371405004,Disorder of eye proper (disorder),
NCT00861484,eye disorder,,"evant abnormality

          -  History of psychiatric illness or suicidal attempts or behaviours

          -  History of any eye disorder or colour blind, excluding myopia and presbyopia

          ",375252,Disorder of eye,FALSE,,,,371405004,Disorder of eye proper (disorder),
NCT03751202,eye disorder,,"             with the absorption, distribution, metabolism or excretion of the drug.

         17. Use of oral or parenteral corticosteroids in the previous four 4 weeks

         18. Eye disorders es",375252,Disorder of eye,FALSE,,,,371405004,Disorder of eye proper (disorder),
NCT02193217,eye disorder,," significant endocrine, thyroid, hepatic, respiratory, gastrointestinal,
             renal, cardiovascular disease, eye disorder or history of psychiatric/psychotic
             disorder.

          ",375252,Disorder of eye,TRUE,,,,371405004,Disorder of eye proper (disorder),
NCT00170729,eye disorder,,"ye.

          -  Clinically significant trichiasis or other clinically relevant concurrent
             inflammatory/ infective eye disorders (e.g. conjunctivitis, episcleritis) except mild
         ",375252,Disorder of eye,TRUE,,,,128295000,Inflammatory disorder of the eye (disorder),
NCT04045496,eye disorder,,"     5. History or evidence of active infections (Grade ≥2).

          6. History or evidence of significant inflammatory or vascular eye disorder.

          7. History of an allogeneic bone marrow ",375252,Disorder of eye,TRUE,,,,128295000,Inflammatory disorder of the eye (disorder),
NCT01919996,eye disorder,,"itive rapid antigen detection test.

        Exclusion Criteria:

          -  History of clinically significant eye disorder that would interfere with protocol test
             procedures.

        ",375252,Disorder of eye,TRUE,,,,371405004,Disorder of eye proper (disorder),
NCT00892918,eye disorder,,"pterygium or clinical suspected conjunctival tumor.

          3. eye surgery in the last 6 months.

          4. eye disorders: severe dry eye syndrome, ocular surface diseases, glaucoma, recurrent
 ",375252,Disorder of eye,TRUE,,,,371405004,Disorder of eye proper (disorder),
NCT02334683,dystonia,,"on Criteria:

          -  18 years or older

          -  Confirmed diagnosis of focal upper extremity dystonia (FHD) or upper limb spasticity

          -  Stable onabotulinumtoxinA dose regimen wit",375800,Dystonia,FALSE,,,,445006008,Focal dystonia (disorder),
NCT02347579,dystonia,,"otor / Trophic: Reports of decreased range of motion and/or motor
                       dysfunction (weakness, tremor, dystonia) and/or trophic changes (hair, nail,
                       skin)

    ",375800,Dystonia,FALSE,,,,15802004,Dystonia (disorder),
NCT01592110,dystonia,,"nce or history of renal or hepatic insufficiency.

          -  Have known history, hypersensitivity or idiosyncratic reaction (including dystonias)
             to risperidone, paliperidone, and/or a",375800,Dystonia,FALSE,,,,15802004,Dystonia (disorder),
NCT00530790,dystonia,,"ndex,in which case to
             implement polysomnography), etc.

          -  Patients with complication of movement disorder (e.g. Parkinson's disease, dyskinesia,
             dystonia, etc.).

",375800,Dystonia,FALSE,,,,15802004,Dystonia (disorder),
NCT00580658,dystonia,,"
          -  Patients who are diagnosed with chronic, intractable (drug refractory)primary
             dystonia, including generalized and or segmental dystonia, hemidystonia, and cervical
         ",375800,Dystonia,FALSE,,,,15802004,Dystonia (disorder),
NCT03620279,dystonia,,"e spasticity or fixed contracture in the more affected limb that limits
             functional arm and hand use

          -  dystonia

          -  severe visual or auditory disorders that prevent l",375800,Dystonia,TRUE,,,,15802004,Dystonia (disorder),
NCT02671604,dystonia,,"         -  Patients with comorbid diseases that can cause increased muscular activity such as
             severe dystonia or status asthmaticus,

          -  Patients with renal or hepatic failure ",375800,Dystonia,TRUE,,,,15802004,Dystonia (disorder),
NCT01588574,dystonia,,"r female aged 18~75

          -  Have no clinically significant medical condition

          -  Cervical dystonia

        Exclusion Criteria:

          -  Pregnant or lactation

          -  Subjec",375800,Dystonia,TRUE,,,,230322000,Isolated cervical dystonia (disorder),
NCT03921450,dystonia,,"associated with impaired or aberrant
             movement, such as brain tumors, stroke, M. Parkinson, M. Huntington, dystonia, or
             severe head trauma with subsequent loss of consciousnes",375800,Dystonia,TRUE,,,,15802004,Dystonia (disorder),
NCT03704168,dystonia,,"coagulopathies, life threatening
             arrhythmias

          3. Upper respiratory airway obstruction, e.g: severe dystonia

          4. History of previous local surgery

          5. Any con",375800,Dystonia,TRUE,,,,15802004,Dystonia (disorder),
NCT02204839,background diabetic retinopathy,," 50 years.

          -  Suffering from, or diagnosed with a diabetes related complication (apart from mild
             background diabetic retinopathy).

          -  HbA1c >8.5%.

          -  Curr",376683,Nonproliferative diabetic retinopathy,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT02444767,background diabetic retinopathy,,"ion, ocular
             infection, corneal edema). Patients may have mild blepharitis, mild dry eye,
             cataracts, age-related macular degeneration or background diabetic retinopathy if, in",376683,Nonproliferative diabetic retinopathy,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT02208115,background diabetic retinopathy,," 50 years.

          -  Suffering from, or diagnosed with a diabetes related complication (apart from mild
             background diabetic retinopathy).

          -  HbA1c >8.5%.

          -  Curr",376683,Nonproliferative diabetic retinopathy,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT02639507,background diabetic retinopathy,,"sed and
             treated by an endocrinologist, internist or family medicine physician

          -  Background diabetic retinopathy

          -  DME with central subfield thickness (CST) > 325 µ",376683,Nonproliferative diabetic retinopathy,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT00664183,non proliferative diabetic retinopathy,,"s with a history of systemic diabetes (type I or II)

          -  Subject with a documented history of Non Proliferative Diabetic Retinopathy (NPDR)

          -  Subjects with no PVD at baseline exa",376683,Nonproliferative diabetic retinopathy,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT01698749,non proliferative diabetic retinopathy,,"following inclusion
             criteria shall be enrolled in the study:

               1. Patients of Non Proliferative Diabetic retinopathy (NPDR)with clinicaly
                  significant macul",376683,Nonproliferative diabetic retinopathy,TRUE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT03475407,non proliferative diabetic retinopathy,,"lling the following inclusion
        criteria shall be enrolled in the study:

          -  Patients of Non Proliferative Diabetic Retinopathy(NPDR) with clinically significant
             macular e",376683,Nonproliferative diabetic retinopathy,TRUE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT00352807,background diabetic retinopathy,,"                 severe dry eye). Patients with mild chronic blepharitis, age-related macular
                  degeneration, background diabetic retinopathy may be enrolled at the discretion
        ",376683,Nonproliferative diabetic retinopathy,TRUE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT00355446,background diabetic retinopathy,,"on, or severe
             dry eye). Patients with mild chronic blepharitis, age-related macular degeneration,
             background diabetic retinopathy may be enrolled at the discretion of the inv",376683,Nonproliferative diabetic retinopathy,TRUE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT01319487,non proliferative diabetic retinopathy,," in at least one eye (""study eye"")
             involving the center of the macula:

          5. Mild to severe non proliferative diabetic retinopathy (Early Treatment Diabetic
             Retinopat",376683,Nonproliferative diabetic retinopathy,TRUE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT00382083,hearing impairment,,"or read English or who are unable to complete the consent process or
             questionnaire for reasons such as hearing impairment or other physical or mental
             disabilities

          ",377889,Hearing loss,FALSE,,,,15188001,Hearing loss (disorder),
NCT02901548,hearing loss,,"otential participants with irreversible toxicity that is not reasonably expected to
             be exacerbated by the investigational product may be included (e.g., hearing loss,
             periphe",377889,Hearing loss,FALSE,,,,15188001,Hearing loss (disorder),
NCT03825627,hearing impairment,," implants inside the brain or any electrical medical device (e.g. pacemaker)
             in the body

          -  Visual or hearing impairment, to the extent that it interferes with task instruction",377889,Hearing loss,FALSE,,,,15188001,Hearing loss (disorder),
NCT01332656,hearing impairment,,"t urine) or
             proteinuria >500 mg/24h

          9. Pre-existing peripheral neuropathy > grade 1 according to the NCI CTCAE V.4.03

         10. Pre-existing hearing impairment > grade 1

 ",377889,Hearing loss,FALSE,,,,15188001,Hearing loss (disorder),
NCT02500589,impaired hearing,,"l be excluded:

          -  1.Active diagnosis of psychosis or dementia in their medical records

          -  2.Severely impaired hearing or speech

          -  3.Lack of telephone access

        ",377889,Hearing loss,FALSE,,,,15188001,Hearing loss (disorder),
NCT01499628,hearing impairment,,"      -  Patients who are not fluent in English or are cognitively impaired

          -  Patients with serious hearing impairment

          -  Patients who are hospital inpatients, who are living in",377889,Hearing loss,TRUE,,,,15188001,Hearing loss (disorder),
NCT03907748,hearing impairment,,"riteria:

          -  Dyads where either or both the caregiver or person with dementia have significant
             hearing impairments that are not resolved through the use of a hearing aid device ",377889,Hearing loss,TRUE,,,,15188001,Hearing loss (disorder),
NCT02862379,hearing impairment,,"          -  Persons who gave consent to participate in the study

          -  Persons with severe visual or hearing impairment

        Exclusion Criteria:

          -  Patients with severe disease",377889,Hearing loss,TRUE,,,,15188001,Hearing loss (disorder),
NCT03162328,hearing loss,,"n lesion).

          -  Individuals who self-report severe contact dermatitis or allergy to silicone, nickel
             or silver.

          -  Individuals who self-report moderate hearing loss.

",377889,Hearing loss,TRUE,,,,21451000119101,Mild to moderate hearing loss (disorder),
NCT02590796,hearing impairment,,":

          -  General Wards

               -  Unable to understand spoken task instructions

               -  Vision or hearing impairment severe enough to preclude testing or interview

         ",377889,Hearing loss,TRUE,,,,15188001,Hearing loss (disorder),
NCT03777254,myopia,,"rization (CNV) for any reason other than
             AMD (such as fundus angioid streaks, ocular histoplasmosis, pathologic myopia,
             trauma);

          5. Afferent pupillary defect(APD);",379805,Myopia,FALSE,,,,57190000,Myopia (disorder),
NCT01284309,myopia,,"s (LASIK) or photorefractive keratectomy (PRK) in any eye

          -  Ocular trauma within the past six months

          -  Severe myopia

          -  Diabetes, Type I or Type 2, with or without m",379805,Myopia,FALSE,,,,34187009,Severe myopia (disorder),
NCT02590692,myopia,,"previous 3 months in any clinical trial of a drug by ocular or
             systemic administration (within previous 18 months for sustained release products)

         16. Axial myopia of greater tha",379805,Myopia,FALSE,,,,408757002,Axial myopia (disorder),
NCT03025399,myopia,,"terfere the fundus examination、Non - diabetic
             retinopathy、uveitis、amotio retinae、optic nerve diseases and high myopia with fundus
             lesions et al.)

          2. Combined with ",379805,Myopia,FALSE,,,,34187009,Severe myopia (disorder),
NCT03329638,myopia,,"blyopia or manifest strabismus including intermittent tropia

          -  Ocular disorders that potentially affect myopia or refractive power

          -  Previous or current use of contact lenses, ",379805,Myopia,FALSE,,,,57190000,Myopia (disorder),
NCT03713268,myopia,,"      1. Healthy controls: Healthy eyes without known disease: refractive error including
             myopia and non-significant cataract is allowed. For selected testing pseudophakia is
            ",379805,Myopia,TRUE,,,,57190000,Myopia (disorder),
NCT01335867,myopia,,"reatment with drugs with known retinotoxicity

          8. History of visual field defects or predisposing factors, including glaucoma, severe
             myopia, retinal disorders, cataracts, diabe",379805,Myopia,TRUE,,,,34187009,Severe myopia (disorder),
NCT01705236,myopia,,"            optic neuropathy, active advanced glaucoma, injury of the optic nerve based on the
             ophthalmologist's clinical judgment

         11. history or presence of severe myopia

    ",379805,Myopia,TRUE,,,,34187009,Severe myopia (disorder),
NCT02040298,myopia,,"thalmologic disease / Concomitant ophthalmologic disorders (e.g. diabetes,
             macular degeneration, glaucoma, severe myopia , etc).

          -  Myopia > -7 Diopters (Severe myopia)

      ",379805,Myopia,TRUE,,,,34187009,Severe myopia (disorder),
NCT04063644,myopia,high myopia,"that have not undergone cataract surgery.

          -  Cases that do not accept surgery (weak corneas, high degree of myopia, sensitivity to
             light, severe dryness of the eyes or by their",379805,Myopia,TRUE,severe,high,pre,34187009,Severe myopia (disorder),
NCT02281292,proliferative diabetic retinopathy,," of the study.

          -  Other protocol-defined inclusion criteria may apply.

        Exclusion Criteria:

          -  Proliferative diabetic retinopathy in the study eye, with the exception of ",380096,Proliferative retinopathy with diabetes mellitus,FALSE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT00970723,proliferative diabetic retinopathy,,"DRD, patient under dialysis

          -  Other causes for macular edema (uveitis, epiretinal membrane)

          -  Proliferative diabetic retinopathy requiring panretinal photocoagulation at inclus",380096,Proliferative retinopathy with diabetes mellitus,FALSE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT02294474,proliferative diabetic retinopathy,,"ening visit.

          -  Hospitalization for diabetic ketoacidosis in the last 6 months before screening visit.

          -  Unstable proliferative diabetic retinopathy or any other rapidly progres",380096,Proliferative retinopathy with diabetes mellitus,FALSE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT03547206,proliferative diabetic retinopathy,,"dition that appears consistent with a
             reduction in visual acuity to <20/25, diabetic retinopathy beyond mild
             non-proliferative diabetic retinopathy not involving the macula, ",380096,Proliferative retinopathy with diabetes mellitus,FALSE,,,,390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT03635814,proliferative diabetic retinopathy,,"esolved (e.g., foveal atrophy,
                  abnormal pigmentation, dense subfoveal hard exudate)

               3. Subject who has proliferative diabetic retinopathy.

               4. Subject ",380096,Proliferative retinopathy with diabetes mellitus,FALSE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT02461771,proliferative diabetic retinopathy,,"e study eye including amblyopia, anterior ischemic
             optic neuropathy, clinically significant diabetic macular edema, severe non
             proliferative diabetic retinopathy, or prolifer",380096,Proliferative retinopathy with diabetes mellitus,TRUE,,,,312905005,Severe nonproliferative diabetic retinopathy,
NCT00717457,proliferative diabetic retinopathy,,"ithin the previous 6 months;

          -  evidence of clinically significant diabetic complications;

          -  known proliferative diabetic retinopathy;

          -  myocardial infarction (MI), ",380096,Proliferative retinopathy with diabetes mellitus,TRUE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT01310166,proliferative diabetic retinopathy,," History or presence of malignancy in the last 5 years

          -  Diabetic patients with moderate or severe non-proliferative diabetic retinopathy or
             proliferative diabetic retinopathy",380096,Proliferative retinopathy with diabetes mellitus,TRUE,,,,312905005,Severe nonproliferative diabetic retinopathy,
NCT00060892,proliferative diabetic retinopathy,,"y of malignant neoplasm (clinical, laboratory or imaging), except
             for basal cell carcinoma of the skin.

          -  Subjects who have proliferative diabetic retinopathy or severe, non-p",380096,Proliferative retinopathy with diabetes mellitus,TRUE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT03272451,proliferative diabetic retinopathy,,"ctive bleeding or significant increased risk of bleeding, severe hepatic
             insufficiency, current peptic ulceration, proliferative diabetic retinopathy

          -  Uncontrolled hypertensi",380096,Proliferative retinopathy with diabetes mellitus,TRUE,,,,59276001,Proliferative retinopathy co-occurrent and due to diabetes mellitus (disorder),
NCT01487044,diabetic macular edema,,"ics, with an age of 18 years of older

          -  Vision of 20/40-20/400 in the Study Eye

          -  Diabetic Macular Edema as documented by SD-OCT and Fluorescein Angiogram.

        Exclusion C",380097,Diabetic macular edema,FALSE,,,,312912001,Macular edema due to diabetes mellitus (disorder),
NCT02193945,diabetic macular edema,,"d to:

               -  Neovascular age-related macular degeneration;

               -  Fibrovascular scar;

               -  Diabetic macular edema; and

               -  Proliferative diabetic r",380097,Diabetic macular edema,FALSE,,,,312912001,Macular edema due to diabetes mellitus (disorder),
NCT00050479,diabetic macular edema,,"rimary outcome (artificial tears are permitted).

          9. History of cancer and prognosis of survival of less than 3 years.

         10. Participants whose diabetic macular edema, in the opinion",380097,Diabetic macular edema,FALSE,,,,312912001,Macular edema due to diabetes mellitus (disorder),
NCT02862938,diabetic macular edema,,"is or other ocular inflammatory disease.

         11. Participant is receiving systemic steroids or other immunosuppressive medications.

         12. Participant has diabetic macular edema and/or di",380097,Diabetic macular edema,FALSE,,,,312912001,Macular edema due to diabetes mellitus (disorder),
NCT03505567,diabetic macular edema,,"sease study eye(s)
             at the study visit; and

          -  Subjects diagnosed with retinal pathology including but not limited to: Macular
             Degeneration, Diabetic Macular Edema,",380097,Diabetic macular edema,FALSE,,,,312912001,Macular edema due to diabetes mellitus (disorder),
NCT00656903,diabetic macular edema,,"ely compromise the visual acuity of the study eye including amblyopia,
             anterior ischemic optic neuropathy, clinically significant diabetic macular edema,
             severe non prolifera",380097,Diabetic macular edema,TRUE,severe,significant,pre,312911008,Clinically significant diabetic macular edema,
NCT00473928,diabetic macular edema,,"        compromise the VA of the study eye including amblyopia, anterior ischemic optic
             neuropathy, clinically significant diabetic macular edema, severe non proliferative
             di",380097,Diabetic macular edema,TRUE,severe,significant,pre,312911008,Clinically significant diabetic macular edema,
NCT00387582,diabetic macular edema,," Subjects will be eligible if the following criteria are met:

               -  Clinically significant diabetic macular edema (CSME) or clinically significant
                  diabetic macular edema",380097,Diabetic macular edema,TRUE,severe,significant,pre,312911008,Clinically significant diabetic macular edema,
NCT00403156,diabetic macular edema,,"     could likely compromise the visual acuity of the study eye including amblyopia,
             anterior ischemic optic neuropathy, clinically significant diabetic macular edema,
             severe",380097,Diabetic macular edema,TRUE,severe,significant,pre,312911008,Clinically significant diabetic macular edema,
NCT00815360,diabetic macular edema,,"I or Type II diabetes

        Disease related considerations:

          -  Study eye with clinically significant diabetic macular edema characterized by macular
             edema, peripheral nonper",380097,Diabetic macular edema,TRUE,severe,significant,pre,312911008,Clinically significant diabetic macular edema,
NCT03452475,epilepsy,,"          7. Known hypersensitivity or contraindication to arterolane-piperaquine, DHA-piperaquine,
             artemisinin, mefloquine (epilepsy, major psychiatric illness) or primaquine

          ",380378,Epilepsy,FALSE,,,,84757009,Epilepsy (disorder),
NCT00672659,epilepsy,,"        -  Significant physical illness which would interfere with trial assessments

          -  Reduced hepatic function

          -  Epilepsy

          -  History of cardiac dysrhythmia

       ",380378,Epilepsy,FALSE,,,,84757009,Epilepsy (disorder),
NCT00061399,epilepsy,,"     15 or 3 to 8

          -  No evidence of hypoxic injury

        Exclusion Criteria

          -  History of epilepsy, mental retardation, or documented evidence of developmental
             dy",380378,Epilepsy,FALSE,,,,84757009,Epilepsy (disorder),
